お知らせ／information,,,,,,,
添付ファイル／attachments,,,,,,,
項目名,カラム名,データ型,長さ,Valdiate,Default,Index,備考
ID,id,text,36,,,,
モデル,model,text,20,,,,
外部キー,foreign_key,integer,,,,,
ファイル名,basename,text,40,,,,
拡張子,extension,text,5,required | single | maxLen[5] | inList[*],,,
サイズ,size,integer,,"required | numeric | range[0,*]",,,
代替テキスト,alternative,text,40,,,,
識別子,identifier,text,20,,,,
作成日時,created,datetime,,,,,
更新日時,modified,datetime,,,,,

メニュー／menus,,,,,,,
項目名,カラム名,データ型,長さ,Valdiate,Default,Index,備考
ID,id,integer,,,,,
親,parent_id,integer,,,,,
メニュー名,name,text,20,,,,
リンク,link,text,100,,,,
階層,level,integer,,,,,
グループ権限,groups,text,50,,,,
ユーザ権限,users,text,50,,,,
左,lft,integer,,,,,
右,rght,integer,,,,,

その他／acos,,,,,,,
項目名,カラム名,データ型,長さ,Valdiate,Default,Index,備考
その他,id,integer,,,,,
その他,parent_id,integer,,,,,
その他,model,text,10,,,,
その他,foreign_key,integer,,,,,
その他,alias,text,50,,,,
その他,lft,integer,,,,,
その他,rght,integer,,,,,

その他／aros,,,,,,,
項目名,カラム名,データ型,長さ,Valdiate,Default,Index,備考
その他,id,integer,,,,,
その他,parent_id,integer,,,,,
その他,model,text,50,,,,
その他,foreign_key,integer,,,,,
その他,alias,text,50,,,,
その他,lft,integer,,,,,
その他,rght,integer,,,,,

その他／aros_acos,,,,,,,
項目名,カラム名,データ型,長さ,Valdiate,Default,Index,備考
その他,id,integer,,,,,
その他,aro_id,integer,,,,,
その他,aco_id,integer,,,,,
その他,_create,text,2,,,,
その他,_read,text,2,,,,
その他,_update,text,2,,,,
その他,_delete,text,2,,,,
